,Iin,Iout
0,0,0
1,6,1
2,13,2
3,19,3
4,26,4
5,29,5
6,32,6
7,36,7
8,39,8
9,42,9
10,46,10
11,49,11
12,52,12
13,53,13
14,55,14
15,56,15
16,58,16
17,60,17
18,61,18
19,63,19
20,64,20
21,66,21
22,68,22
23,69,23
24,71,24
25,72,25
26,74,26
27,76,27
28,77,28
29,78,29
30,79,30
31,80,31
32,81,32
33,82,33
34,83,34
35,84,35
36,85,36
37,86,37
38,87,38
39,88,39
40,89,40
41,90,41
42,91,42
43,92,43
44,93,44
45,94,45
46,95,46
47,96,47
48,97,48
49,98,49
50,99,50
51,100,51
52,101,52
53,102,53
54,103,54
55,103,55
56,104,56
57,105,57
58,105,58
59,106,59
60,106,60
61,107,61
62,107,62
63,108,63
64,109,64
65,109,65
66,110,66
67,110,67
68,111,68
69,112,69
70,112,70
71,113,71
72,113,72
73,114,73
74,115,74
75,115,75
76,116,76
77,116,77
78,117,78
79,117,79
80,118,80
81,119,81
82,119,82
83,120,83
84,120,84
85,121,85
86,122,86
87,122,87
88,123,88
89,123,89
90,124,90
91,125,91
92,125,92
93,126,93
94,126,94
95,127,95
96,128,96
97,128,97
98,128,98
99,129,99
100,129,100
101,130,101
102,130,102
103,131,103
104,131,104
105,132,105
106,132,106
107,132,107
108,133,108
109,133,109
110,134,110
111,134,111
112,135,112
113,135,113
114,136,114
115,136,115
116,137,116
117,137,117
118,137,118
119,138,119
120,138,120
121,139,121
122,139,122
123,140,123
124,140,124
125,141,125
126,141,126
127,142,127
128,142,128
129,142,129
130,143,130
131,143,131
132,144,132
133,144,133
134,145,134
135,145,135
136,146,136
137,146,137
138,147,138
139,147,139
140,147,140
141,148,141
142,148,142
143,149,143
144,149,144
145,150,145
146,150,146
147,151,147
148,151,148
149,151,149
150,152,150
151,152,151
152,153,152
153,153,153
154,154,154
155,155,155
156,155,156
157,156,157
158,157,158
159,157,159
160,158,160
161,158,161
162,159,162
163,160,163
164,160,164
165,161,165
166,162,166
167,162,167
168,163,168
169,163,169
170,164,170
171,165,171
172,165,172
173,166,173
174,167,174
175,167,175
176,168,176
177,168,177
178,169,178
179,170,179
180,170,180
181,171,181
182,172,182
183,172,183
184,173,184
185,174,185
186,174,186
187,175,187
188,175,188
189,176,189
190,177,190
191,177,191
192,178,192
193,179,193
194,179,194
195,180,195
196,181,196
197,181,197
198,182,198
199,183,199
200,183,200
201,184,201
202,185,202
203,185,203
204,186,204
205,187,205
206,187,206
207,188,207
208,189,208
209,189,209
210,190,210
211,191,211
212,191,212
213,192,213
214,193,214
215,193,215
216,194,216
217,195,217
218,195,218
219,196,219
220,197,220
221,197,221
222,198,222
223,199,223
224,199,224
225,200,225
226,201,226
227,201,227
228,202,228
229,203,229
230,204,230
231,204,231
232,206,232
233,208,233
234,209,234
235,211,235
236,213,236
237,214,237
238,216,238
239,218,239
240,219,240
241,221,241
242,223,242
243,224,243
244,226,244
245,228,245
246,229,246
247,232,247
248,235,248
249,238,249
250,241,250
251,244,251
252,246,252
253,249,253
254,252,254
255,255,255
