,Iin,Iout
0,0,0
1,1,1
2,2,2
3,2,3
4,3,4
5,4,5
6,5,6
7,6,7
8,7,8
9,7,9
10,8,10
11,9,11
12,10,12
13,11,13
14,11,14
15,12,15
16,13,16
17,14,17
18,15,18
19,15,19
20,16,20
21,17,21
22,18,22
23,19,23
24,20,24
25,20,25
26,21,26
27,22,27
28,23,28
29,24,29
30,24,30
31,25,31
32,26,32
33,27,33
34,28,34
35,29,35
36,30,36
37,31,37
38,32,38
39,33,39
40,34,40
41,35,41
42,36,42
43,37,43
44,38,44
45,39,45
46,40,46
47,41,47
48,42,48
49,43,49
50,44,50
51,45,51
52,46,52
53,47,53
54,47,54
55,48,55
56,49,56
57,50,57
58,51,58
59,52,59
60,53,60
61,54,61
62,54,62
63,55,63
64,56,64
65,57,65
66,57,66
67,58,67
68,59,68
69,60,69
70,61,70
71,61,71
72,62,72
73,63,73
74,64,74
75,64,75
76,65,76
77,66,77
78,67,78
79,68,79
80,68,80
81,69,81
82,70,82
83,71,83
84,71,84
85,72,85
86,73,86
87,74,87
88,75,88
89,75,89
90,76,90
91,77,91
92,78,92
93,79,93
94,80,94
95,81,95
96,82,96
97,83,97
98,84,98
99,85,99
100,86,100
101,87,101
102,88,102
103,89,103
104,90,104
105,91,105
106,92,106
107,94,107
108,95,108
109,96,109
110,97,110
111,98,111
112,99,112
113,100,113
114,101,114
115,102,115
116,103,116
117,104,117
118,105,118
119,105,119
120,106,120
121,107,121
122,108,122
123,109,123
124,110,124
125,111,125
126,112,126
127,113,127
128,114,128
129,115,129
130,116,130
131,117,131
132,118,132
133,119,133
134,120,134
135,120,135
136,121,136
137,122,137
138,123,138
139,124,139
140,125,140
141,126,141
142,127,142
143,128,143
144,129,144
145,130,145
146,132,146
147,133,147
148,134,148
149,135,149
150,136,150
151,138,151
152,139,152
153,140,153
154,141,154
155,142,155
156,144,156
157,145,157
158,146,158
159,147,159
160,148,160
161,150,161
162,151,162
163,152,163
164,153,164
165,154,165
166,155,166
167,156,167
168,157,168
169,158,169
170,159,170
171,160,171
172,161,172
173,162,173
174,162,174
175,163,175
176,164,176
177,165,177
178,166,178
179,167,179
180,168,180
181,169,181
182,170,182
183,171,183
184,172,184
185,173,185
186,174,186
187,175,187
188,176,188
189,176,189
190,177,190
191,178,191
192,179,192
193,181,193
194,182,194
195,183,195
196,184,196
197,185,197
198,187,198
199,188,199
200,189,200
201,190,201
202,191,202
203,192,203
204,194,204
205,195,205
206,196,206
207,197,207
208,198,208
209,199,209
210,201,210
211,202,211
212,203,212
213,204,213
214,205,214
215,206,215
216,207,216
217,208,217
218,209,218
219,210,219
220,211,220
221,212,221
222,213,222
223,214,223
224,215,224
225,216,225
226,217,226
227,218,227
228,219,228
229,220,229
230,221,230
231,222,231
232,223,232
233,224,233
234,225,234
235,226,235
236,227,236
237,228,237
238,229,238
239,230,239
240,232,240
241,233,241
242,235,242
243,236,243
244,238,244
245,239,245
246,241,246
247,243,247
248,244,248
249,246,249
250,247,250
251,249,251
252,250,252
253,252,253
254,253,254
255,255,255
